dt,AverageTemperature,AverageTemperatureUncertainty,Country
2012-01-01,26.078000000000003,0.48,Trinidad And Tobago
2012-01-01,10.832,0.361,Tunisia
2012-01-01,0.14,0.48,Turkey
2012-01-01,0.008000000000000007,0.271,Turkmenistan
2012-01-01,24.947,0.54,Turks And Caicas Islands
2012-01-01,24.427,0.424,Uganda
2012-01-01,-3.865,0.328,Ukraine
2012-01-01,19.35,0.275,United Arab Emirates
2012-01-01,5.101,0.319,United Kingdom of Great Britain and Northern Ireland
2012-01-01,5.47,0.32,United Kingdom of Great Britain and Northern Ireland
2012-01-01,-2.2680000000000007,0.232,United States of America
2012-01-01,25.028000000000002,0.34,Uruguay
2012-01-01,-4.027,0.345,Uzbekistan
2012-01-01,25.263,0.446,Venezuela
2012-01-01,25.197,0.362,Virgin Islands
2012-01-01,21.513,0.68,Yemen
2012-01-01,22.416999999999998,0.466,Zambia
2012-01-01,23.872,0.247,Zimbabwe
